left, middle, right, top
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.25
29.9375, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5, 33.1875
29.875, 35.25, 36.5, 33.25
29.9375, 35.25, 36.5625, 33.25
29.9375, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.1875
29.8125, 35.25, 36.5625, 33.25
29.875, 35.1875, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.1875, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.8125, 35.25, 36.5625, 33.1875
29.875, 35.3125, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.25
29.9375, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.1875, 36.5, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5, 33.25
29.875, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.25
29.875, 35.25, 36.5625, 33.1875
29.9375, 35.25, 36.5625, 33.1875
29.875, 35.25, 36.5625, 33.1875
